id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
05mAIVLkIWc2d1UBYZBCp8,0.0227,0.7390000000000001,189000,0.742,1.39e-06,0.229,-4.586,0.0329,124.016,0.659
3BPoSr2pO34Aan6alFfVto,0.0149,0.785,208863,0.7440000000000001,0.0066599999999999,0.0661,-4.249,0.0369,126.018,0.833
02CygBCQOIyEuhNZqHHcNx,0.205,0.802,261881,0.607,0.000748,0.246,-11.028,0.289,96.916,0.274
0ileL1L3Vtpf5VZ5RQZ94m,0.8009999999999999,0.349,179242,0.307,0.0,0.0968,-7.197,0.0402,80.964,0.447
3nF5bxOE63ZU6JiU4IJQB8,0.00436,0.5489999999999999,84558,0.4970000000000001,0.0,0.0698,-8.645,0.22,65.919,0.113
4vVzmaBsxXuKrJeMSLRF4y,0.026,0.498,211520,0.904,4.98e-06,0.0685,-6.351,0.0456,133.97299999999998,0.343
30YhyUmaegqSxsBICCeVzY,0.0906,0.736,225381,0.578,1.58e-06,0.319,-7.387,0.129,172.96,0.133
0R6Jlsq25eZB3Wftpxi3oF,0.755,0.38,112013,0.454,0.623,0.263,-10.271,0.0362,77.592,0.288
1qPlNM2FaEWCMSxpVR5XeH,0.00916,0.544,257108,0.894,0.0,0.365,-5.193,0.0515,148.0,0.41
2wz3OO7ndJQj15z3drwKkf,0.158,0.894,168160,0.625,0.0,0.171,-6.702999999999999,0.302,150.026,0.428
6Gg25EZRbQd4IHiJz2KSY0,0.0369,0.8140000000000001,240000,0.667,0.0,0.11,-4.785,0.36,80.031,0.376
0ZwHNhwxDhUYHYkSkHxMf0,0.0406,0.639,245680,0.452,0.0,0.315,-8.906,0.0495,88.993,0.546
0mqDhUDKwpnDvIFoQYR524,0.848,0.261,265377,0.179,0.0,0.113,-10.423,0.0368,77.473,0.229
5bt5mhA34P1Dncbik5EGeJ,0.885,0.607,175560,0.1669999999999999,0.0,0.165,-13.007,0.0902,122.627,0.469
5RHl48vC9W0bnabDTt2jJ7,0.0394,0.444,187757,0.802,0.0,0.504,-2.398,0.199,97.234,0.165
5SVARIypUactzhS79rk6x8,0.114,0.5720000000000001,223907,0.718,0.000106,0.402,-6.372000000000001,0.0336,123.995,0.284
0sZIYfLTAKNvGBtN01897a,0.919,0.52,212096,0.195,0.0132,0.145,-11.05,0.0513,79.945,0.193
6JzvfFCIFT1CbbHE1pDNBU,0.0262,0.7859999999999999,185000,0.327,1.34e-05,0.101,-9.889,0.528,158.019,0.194
2IuiwVQPn4r3g2FR5mfv1R,0.0843,0.611,163500,0.667,6.02e-06,0.09,-7.507999999999999,0.0626,159.876,0.349
4lRwa7PKcGIuJMwtPIYKdy,0.0237,0.813,232966,0.875,0.0,0.288,-2.92,0.0918,99.004,0.7559999999999999
7vvfMbZeNxCrYOqxqcw3fe,0.601,0.536,244355,0.322,2.26e-05,0.113,-12.834,0.0621,135.5,0.236
71DxoKxpHcW8iaYNczwGi3,0.189,0.5,240667,0.55,0.0921,0.0999,-8.447000000000001,0.0286,76.04,0.522
6AAShoDuz7fpM912cmuY4r,0.398,0.858,267938,0.504,0.0,0.107,-8.717,0.147,129.939,0.274
4edtsBlaX23OPYmhA4R0GP,0.634,0.459,179013,0.214,0.0,0.125,-10.66,0.0403,163.816,0.397
7d6MywFjsWZuDdpGOa6orT,0.8320000000000001,0.465,175324,0.259,0.0,0.118,-8.027999999999999,0.0356,91.706,0.185
5qCQyPB2MEICEcSC8WVbNx,0.0724,0.588,201333,0.698,1.23e-05,0.6729999999999999,-7.057,0.0434,109.973,0.121
1mbuSss0OVqfS00y7yCNCZ,0.713,0.6729999999999999,247455,0.4370000000000001,0.152,0.117,-11.746,0.0325,104.996,0.551
5LCaw96SsbpHAQFAcbFwbI,0.0168,0.706,243692,0.935,4.620000000000001e-05,0.106,-2.418,0.0565,130.001,0.214
1meHLsRElw6jUDztG9SuOm,0.0673,0.63,175173,0.6920000000000001,0.0,0.2,-6.709,0.0606,119.972,0.593
5atcLAbdW7d6BOui2DDI9z,0.0203,0.5920000000000001,177354,0.7490000000000001,0.0,0.122,-4.604,0.0483,160.046,0.614
0prDgONnOYjucz3LY4o5Te,0.108,0.599,213699,0.585,0.000982,0.121,-10.076,0.0554,145.933,0.177
